Community Area,Year,Month,Quarter,DayOfWeek,IsWeekend,CrimeCount,Rolling7d,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Season_Fall,Season_Spring,Season_Summer,Season_Winter,Lag1d,Lag3d,YearTrend,AreaMeanCount
1.0,2002,5,2,6,1,1,2.4285714285714284,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,1,0,0,5.0,1.0,0.0,1.814096499526963
1.0,2002,5,2,0,0,1,2.2857142857142856,0.49999999999999994,-0.8660254037844387,0.0,1.0,0,1,0,0,1.0,1.0,0.0,1.814096499526963
1.0,2002,5,2,1,0,2,2.142857142857143,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0,1,0,0,1.0,5.0,0.0,1.814096499526963
1.0,2002,5,2,2,0,1,2.0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,1,0,0,2.0,1.0,0.0,1.814096499526963
1.0,2002,5,2,3,0,2,1.7142857142857142,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0,1,0,0,1.0,1.0,0.0,1.814096499526963
1.0,2002,5,2,4,0,1,1.8571428571428568,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,1,0,0,2.0,2.0,0.0,1.814096499526963
1.0,2002,5,2,5,1,1,1.8571428571428568,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,1,0,0,1.0,1.0,0.0,1.814096499526963
1.0,2002,5,2,6,1,3,1.2857142857142858,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,1,0,0,1.0,2.0,0.0,1.814096499526963
1.0,2002,5,2,0,0,5,1.5714285714285714,0.49999999999999994,-0.8660254037844387,0.0,1.0,0,1,0,0,3.0,1.0,0.0,1.814096499526963
1.0,2002,5,2,1,0,2,2.142857142857143,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0,1,0,0,5.0,1.0,0.0,1.814096499526963
1.0,2002,5,2,2,0,2,2.142857142857143,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,1,0,0,2.0,3.0,0.0,1.814096499526963
1.0,2002,5,2,3,0,1,2.2857142857142856,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0,1,0,0,2.0,5.0,0.0,1.814096499526963
1.0,2002,6,2,5,1,5,2.142857142857143,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,0,1,0,1.0,2.0,0.0,1.814096499526963
1.0,2002,6,2,6,1,2,2.7142857142857144,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0,0,1,0,5.0,2.0,0.0,1.814096499526963
1.0,2002,6,2,0,0,4,2.8571428571428568,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,1,0,2.0,1.0,0.0,1.814096499526963
1.0,2002,6,2,1,0,1,3.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,1,0,4.0,5.0,0.0,1.814096499526963
1.0,2002,6,2,2,0,2,2.4285714285714284,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0,0,1,0,1.0,2.0,0.0,1.814096499526963
1.0,2002,6,2,3,0,2,2.4285714285714284,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0,0,1,0,2.0,4.0,0.0,1.814096499526963
1.0,2002,6,2,4,0,5,2.4285714285714284,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,0,1,0,2.0,1.0,0.0,1.814096499526963
1.0,2002,6,2,5,1,3,3.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,0,1,0,5.0,2.0,0.0,1.814096499526963
1.0,2002,6,2,0,0,1,2.7142857142857144,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,1,0,3.0,2.0,0.0,1.814096499526963
1.0,2002,6,2,1,0,3,2.571428571428572,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,1,0,1.0,5.0,0.0,1.814096499526963
1.0,2002,6,2,2,0,1,2.4285714285714284,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0,0,1,0,3.0,3.0,0.0,1.814096499526963
1.0,2002,6,2,3,0,1,2.4285714285714284,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0,0,1,0,1.0,1.0,0.0,1.814096499526963
1.0,2002,6,2,4,0,2,2.2857142857142856,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,0,1,0,1.0,3.0,0.0,1.814096499526963
1.0,2002,6,2,5,1,3,2.2857142857142856,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,0,1,0,2.0,1.0,0.0,1.814096499526963
1.0,2002,6,2,6,1,5,2.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0,0,1,0,3.0,1.0,0.0,1.814096499526963
1.0,2002,6,2,1,0,2,2.2857142857142856,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,1,0,5.0,2.0,0.0,1.814096499526963
1.0,2002,6,2,2,0,1,2.4285714285714284,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0,0,1,0,2.0,3.0,0.0,1.814096499526963
1.0,2002,6,2,3,0,1,2.142857142857143,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0,0,1,0,1.0,5.0,0.0,1.814096499526963
1.0,2002,6,2,4,0,1,2.142857142857143,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,0,1,0,1.0,2.0,0.0,1.814096499526963
1.0,2002,6,2,5,1,1,2.142857142857143,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,0,1,0,1.0,1.0,0.0,1.814096499526963
1.0,2002,6,2,6,1,2,2.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0,0,1,0,1.0,1.0,0.0,1.814096499526963
1.0,2002,6,2,0,0,5,1.8571428571428568,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,1,0,2.0,1.0,0.0,1.814096499526963
1.0,2002,6,2,1,0,3,1.8571428571428568,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,1,0,5.0,1.0,0.0,1.814096499526963
1.0,2002,6,2,3,0,2,2.0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0,0,1,0,3.0,2.0,0.0,1.814096499526963
1.0,2002,6,2,4,0,4,2.142857142857143,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,0,1,0,2.0,5.0,0.0,1.814096499526963
1.0,2002,6,2,5,1,3,2.571428571428572,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,0,1,0,4.0,3.0,0.0,1.814096499526963
1.0,2002,6,2,6,1,5,2.8571428571428568,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0,0,1,0,3.0,2.0,0.0,1.814096499526963
1.0,2002,7,3,1,0,4,3.4285714285714284,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,1,0,5.0,4.0,0.0,1.814096499526963
1.0,2002,7,3,2,0,1,3.7142857142857135,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,1,0,4.0,3.0,0.0,1.814096499526963
1.0,2002,7,3,3,0,3,3.1428571428571432,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,0,1,0,1.0,5.0,0.0,1.814096499526963
1.0,2002,7,3,4,0,4,3.1428571428571432,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,1,0,3.0,4.0,0.0,1.814096499526963
1.0,2002,7,3,5,1,4,3.4285714285714284,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,1,0,4.0,1.0,0.0,1.814096499526963
1.0,2002,7,3,6,1,4,3.4285714285714284,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0,1,0,4.0,3.0,0.0,1.814096499526963
1.0,2002,7,3,0,0,1,3.571428571428572,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0,0,1,0,4.0,4.0,0.0,1.814096499526963
1.0,2002,7,3,1,0,5,3.0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,1,0,1.0,4.0,0.0,1.814096499526963
1.0,2002,7,3,2,0,7,3.1428571428571432,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,1,0,5.0,4.0,0.0,1.814096499526963
1.0,2002,7,3,3,0,3,4.0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,0,1,0,7.0,1.0,0.0,1.814096499526963
1.0,2002,7,3,4,0,3,4.0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,1,0,3.0,5.0,0.0,1.814096499526963
1.0,2002,7,3,5,1,4,3.8571428571428568,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,1,0,3.0,7.0,0.0,1.814096499526963
1.0,2002,7,3,6,1,1,3.8571428571428568,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0,1,0,4.0,3.0,0.0,1.814096499526963
1.0,2002,7,3,0,0,1,3.4285714285714284,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0,0,1,0,1.0,3.0,0.0,1.814096499526963
1.0,2002,7,3,1,0,3,3.4285714285714284,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,1,0,1.0,4.0,0.0,1.814096499526963
1.0,2002,7,3,2,0,2,3.1428571428571432,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,1,0,3.0,1.0,0.0,1.814096499526963
1.0,2002,7,3,3,0,4,2.4285714285714284,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,0,1,0,2.0,1.0,0.0,1.814096499526963
1.0,2002,7,3,4,0,2,2.571428571428572,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,1,0,4.0,3.0,0.0,1.814096499526963
1.0,2002,7,3,6,1,4,2.4285714285714284,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0,1,0,2.0,2.0,0.0,1.814096499526963
1.0,2002,7,3,0,0,2,2.4285714285714284,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0,0,1,0,4.0,4.0,0.0,1.814096499526963
1.0,2002,7,3,1,0,3,2.571428571428572,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,1,0,2.0,2.0,0.0,1.814096499526963
1.0,2002,7,3,2,0,4,2.8571428571428568,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,1,0,3.0,4.0,0.0,1.814096499526963
1.0,2002,7,3,3,0,3,3.0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,0,1,0,4.0,2.0,0.0,1.814096499526963
1.0,2002,7,3,4,0,1,3.1428571428571432,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,1,0,3.0,3.0,0.0,1.814096499526963
1.0,2002,7,3,5,1,3,2.7142857142857144,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,1,0,1.0,4.0,0.0,1.814096499526963
1.0,2002,7,3,6,1,5,2.8571428571428568,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0,1,0,3.0,3.0,0.0,1.814096499526963
1.0,2002,7,3,0,0,2,3.0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0,0,1,0,5.0,1.0,0.0,1.814096499526963
1.0,2002,7,3,2,0,6,3.0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,1,0,2.0,3.0,0.0,1.814096499526963
1.0,2002,8,3,3,0,2,3.4285714285714284,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,1,0,6.0,5.0,0.0,1.814096499526963
1.0,2002,8,3,4,0,6,3.1428571428571432,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,0,1,0,2.0,2.0,0.0,1.814096499526963
1.0,2002,8,3,5,1,2,3.571428571428572,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,0,1,0,6.0,6.0,0.0,1.814096499526963
1.0,2002,8,3,1,0,1,3.7142857142857135,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,1,0,2.0,2.0,0.0,1.814096499526963
1.0,2002,8,3,2,0,8,3.4285714285714284,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,1,0,1.0,6.0,0.0,1.814096499526963
1.0,2002,8,3,3,0,4,3.8571428571428568,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,1,0,8.0,2.0,0.0,1.814096499526963
1.0,2002,8,3,4,0,3,4.142857142857143,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,0,1,0,4.0,1.0,0.0,1.814096499526963
1.0,2002,8,3,5,1,3,3.7142857142857135,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,0,1,0,3.0,8.0,0.0,1.814096499526963
1.0,2002,8,3,6,1,1,3.8571428571428568,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0,0,1,0,3.0,4.0,0.0,1.814096499526963
1.0,2002,8,3,0,0,3,3.1428571428571432,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0,0,1,0,1.0,3.0,0.0,1.814096499526963
1.0,2002,8,3,1,0,3,3.2857142857142856,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,1,0,3.0,3.0,0.0,1.814096499526963
1.0,2002,8,3,2,0,4,3.571428571428572,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,1,0,3.0,1.0,0.0,1.814096499526963
1.0,2002,8,3,3,0,3,3.0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,1,0,4.0,3.0,0.0,1.814096499526963
1.0,2002,8,3,4,0,3,2.8571428571428568,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,0,1,0,3.0,3.0,0.0,1.814096499526963
1.0,2002,8,3,5,1,1,2.8571428571428568,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,0,1,0,3.0,4.0,0.0,1.814096499526963
1.0,2002,8,3,6,1,1,2.571428571428572,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0,0,1,0,1.0,3.0,0.0,1.814096499526963
1.0,2002,8,3,1,0,3,2.571428571428572,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,1,0,1.0,3.0,0.0,1.814096499526963
1.0,2002,8,3,2,0,3,2.571428571428572,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,1,0,3.0,1.0,0.0,1.814096499526963
1.0,2002,8,3,4,0,1,2.571428571428572,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,0,1,0,3.0,1.0,0.0,1.814096499526963
1.0,2002,8,3,5,1,3,2.142857142857143,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,0,1,0,1.0,3.0,0.0,1.814096499526963
1.0,2002,8,3,0,0,2,2.142857142857143,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0,0,1,0,3.0,3.0,0.0,1.814096499526963
1.0,2002,8,3,1,0,8,2.0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,1,0,2.0,1.0,0.0,1.814096499526963
1.0,2002,8,3,2,0,5,3.0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,1,0,8.0,3.0,0.0,1.814096499526963
1.0,2002,8,3,3,0,2,3.571428571428572,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,1,0,5.0,2.0,0.0,1.814096499526963
1.0,2002,8,3,4,0,2,3.4285714285714284,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,0,1,0,2.0,8.0,0.0,1.814096499526963
1.0,2002,8,3,5,1,3,3.2857142857142856,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,0,1,0,2.0,5.0,0.0,1.814096499526963
1.0,2002,9,3,6,1,2,3.571428571428572,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,1,0,0,0,3.0,2.0,0.0,1.814096499526963
1.0,2002,9,3,0,0,2,3.4285714285714284,-1.0,-1.8369701987210297e-16,0.0,1.0,1,0,0,0,2.0,2.0,0.0,1.814096499526963
1.0,2002,9,3,1,0,2,3.4285714285714284,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,1,0,0,0,2.0,3.0,0.0,1.814096499526963
1.0,2002,9,3,2,0,2,2.571428571428572,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,1,0,0,0,2.0,2.0,0.0,1.814096499526963
1.0,2002,9,3,3,0,1,2.142857142857143,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,1,0,0,0,2.0,2.0,0.0,1.814096499526963
1.0,2002,9,3,4,0,4,2.0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,1,0,0,0,1.0,2.0,0.0,1.814096499526963
1.0,2002,9,3,5,1,1,2.2857142857142856,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,1,0,0,0,4.0,2.0,0.0,1.814096499526963
1.0,2002,9,3,6,1,1,2.0,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,1,0,0,0,1.0,1.0,0.0,1.814096499526963
1.0,2002,9,3,0,0,4,1.8571428571428568,-1.0,-1.8369701987210297e-16,0.0,1.0,1,0,0,0,1.0,4.0,0.0,1.814096499526963
1.0,2002,9,3,1,0,1,2.142857142857143,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,1,0,0,0,4.0,1.0,0.0,1.814096499526963
1.0,2002,9,3,2,0,2,2.0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,1,0,0,0,1.0,1.0,0.0,1.814096499526963
1.0,2002,9,3,3,0,2,2.0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,1,0,0,0,2.0,4.0,0.0,1.814096499526963
1.0,2002,9,3,5,1,2,2.142857142857143,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,1,0,0,0,2.0,1.0,0.0,1.814096499526963
1.0,2002,9,3,6,1,4,1.8571428571428568,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,1,0,0,0,2.0,2.0,0.0,1.814096499526963
1.0,2002,9,3,0,0,2,2.2857142857142856,-1.0,-1.8369701987210297e-16,0.0,1.0,1,0,0,0,4.0,2.0,0.0,1.814096499526963
1.0,2002,9,3,1,0,4,2.4285714285714284,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,1,0,0,0,2.0,2.0,0.0,1.814096499526963
1.0,2002,9,3,3,0,4,2.4285714285714284,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,1,0,0,0,4.0,4.0,0.0,1.814096499526963
1.0,2002,9,3,4,0,1,2.8571428571428568,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,1,0,0,0,4.0,2.0,0.0,1.814096499526963
1.0,2002,9,3,5,1,1,2.7142857142857144,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,1,0,0,0,1.0,4.0,0.0,1.814096499526963
1.0,2002,9,3,6,1,3,2.571428571428572,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,1,0,0,0,1.0,4.0,0.0,1.814096499526963
1.0,2002,9,3,0,0,2,2.7142857142857144,-1.0,-1.8369701987210297e-16,0.0,1.0,1,0,0,0,3.0,1.0,0.0,1.814096499526963
1.0,2002,9,3,1,0,1,2.4285714285714284,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,1,0,0,0,2.0,1.0,0.0,1.814096499526963
1.0,2002,9,3,2,0,3,2.2857142857142856,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,1,0,0,0,1.0,3.0,0.0,1.814096499526963
1.0,2002,9,3,3,0,1,2.142857142857143,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,1,0,0,0,3.0,2.0,0.0,1.814096499526963
1.0,2002,9,3,4,0,2,1.7142857142857142,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,1,0,0,0,1.0,1.0,0.0,1.814096499526963
1.0,2002,9,3,5,1,6,1.8571428571428568,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,1,0,0,0,2.0,3.0,0.0,1.814096499526963
1.0,2002,9,3,0,0,3,2.571428571428572,-1.0,-1.8369701987210297e-16,0.0,1.0,1,0,0,0,6.0,1.0,0.0,1.814096499526963
1.0,2002,10,4,1,0,4,2.571428571428572,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1,0,0,0,3.0,2.0,0.0,1.814096499526963
1.0,2002,10,4,2,0,5,2.8571428571428568,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1,0,0,0,4.0,6.0,0.0,1.814096499526963
1.0,2002,10,4,3,0,2,3.4285714285714284,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1,0,0,0,5.0,3.0,0.0,1.814096499526963
1.0,2002,10,4,5,1,2,3.2857142857142856,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1,0,0,0,2.0,4.0,0.0,1.814096499526963
1.0,2002,10,4,6,1,1,3.4285714285714284,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,0,0,0,2.0,5.0,0.0,1.814096499526963
1.0,2002,10,4,0,0,1,3.2857142857142856,-0.8660254037844386,0.5000000000000001,0.0,1.0,1,0,0,0,1.0,2.0,0.0,1.814096499526963
1.0,2002,10,4,2,0,1,2.571428571428572,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1,0,0,0,1.0,2.0,0.0,1.814096499526963
